GCM,RCM,Edge_Treatment,Landscape_Treatment,Fire_area,House_loss,Life_loss,Road_loss,Power_loss,TFI_burnt,region
CSIRO-MK3.0,R1,e10,l0,239.8070608,0.060119439,0.053621029,384.6658898,5.476711047,2.291436713,NSW_BHILL
CSIRO-MK3.0,R1,e10,l1,230.7344276,0.060155479,0.053648475,382.4345039,5.479026169,2.369831982,NSW_BHILL
CSIRO-MK3.0,R1,e10,l2,225.53767,0.060124728,0.05362483,364.0891285,5.477011951,2.346387717,NSW_BHILL
CSIRO-MK3.0,R1,e10,l3,220.2012815,0.060134753,0.053632393,367.6963213,5.477644465,2.313103676,NSW_BHILL
CSIRO-MK3.0,R1,e10,l5,213.4590985,0.060158962,0.053650887,362.9950592,5.479208477,2.51657636,NSW_BHILL
CSIRO-MK3.0,R1,e10,l10,199.6688023,0.060197316,0.053680106,358.2032237,5.481675587,2.670626813,NSW_BHILL
CSIRO-MK3.0,R1,e10,l15,183.4929966,0.061168129,0.054556078,341.3663385,5.571381207,2.616506907,NSW_BHILL
CSIRO-MK3.0,R1,e15,l0,232.0080304,0.061081994,0.054490703,382.7937128,5.565885094,2.860667966,NSW_BHILL
CSIRO-MK3.0,R1,e15,l1,222.707507,0.061099302,0.054503849,380.7118687,5.566990842,2.893096008,NSW_BHILL
CSIRO-MK3.0,R1,e15,l2,217.6167756,0.061101147,0.054505307,362.6001101,5.567118265,2.891523538,NSW_BHILL
CSIRO-MK3.0,R1,e15,l3,211.8216233,0.061119781,0.054519457,365.6348327,5.568308066,2.86490778,NSW_BHILL
CSIRO-MK3.0,R1,e15,l5,205.9939862,0.061117269,0.054517456,361.4858892,5.568132667,3.071737627,NSW_BHILL
CSIRO-MK3.0,R1,e15,l10,192.4487758,0.061148243,0.054540993,356.2255017,5.570113877,3.169714794,NSW_BHILL
CSIRO-MK3.0,R1,e15,l15,177.788399,0.061449597,0.054787065,339.5135154,5.592478681,2.999600236,NSW_BHILL
CSIRO-MK3.0,R2,e0,l0,278.2359439,0.058154861,0.051991698,402.539073,5.324791886,1.521563594,NSW_BHILL
CSIRO-MK3.0,R2,e0,l1,268.4155481,0.058844553,0.052589151,400.7845264,5.383457517,1.876673021,NSW_BHILL
CSIRO-MK3.0,R2,e0,l2,262.9508597,0.058422785,0.05220066,382.0641153,5.342864963,1.866220388,NSW_BHILL
CSIRO-MK3.0,R2,e0,l3,257.9679887,0.059157105,0.052840247,385.8311284,5.405879125,1.828355951,NSW_BHILL
CSIRO-MK3.0,R2,e0,l5,249.9842842,0.059298212,0.052952604,381.0875168,5.415827012,2.23482573,NSW_BHILL
