region,Edge_Treatment,Landscape_Treatment,X,Fire_area,House_loss,Life_loss,Road_loss,Power_loss,TFI_burnt,L_Burnt_Actual,E_Burnt_Actual,Scenario,GCM,RCM,GCM_RCM,Fire_area_rel,House_loss_rel,Life_loss_rel,Road_loss_rel,Power_loss_rel,TFI_burnt_rel
ACT,E00,L05,,466.3724066,1.139835106,0.624183118,2998.706757,209.2072798,23.46234871,,,Future,CSIRO-MK3.0,R3,CSIRO-MK3.0_R3,0.586320443,0.74741456,0.728457073,0.467521196,0.5474279,2.659355595
ACT,E00,L05,,465.708123,1.14063151,0.624334651,2996.951166,209.2386937,23.43645287,,,Future,ECHAM5,R1,ECHAM5_R1,0.58548531,0.74793678,0.728633921,0.467247486,0.5475101,2.656420414
ACT,E00,L05,,469.1633166,1.149118394,0.627467146,3048.93518,212.131407,23.54782913,,,Future,ECHAM5,R2,ECHAM5_R2,0.589829157,0.753501813,0.73228972,0.475352189,0.555079396,2.66904443
ACT,E00,L05,,481.104006,1.166113427,0.634224088,3117.872217,217.1459991,24.08202057,,,Future,ECHAM5,R3,ECHAM5_R3,0.604840917,0.764645824,0.740175454,0.486099998,0.568200965,2.729592716
ACT,E00,L05,,433.613806,1.086810028,0.603269913,2782.003517,193.9488368,22.02246544,,,Future,MIROC3.2,R1,MIROC3.2_R1,0.545136537,0.712644868,0.704050178,0.433735513,0.507501481,2.496151064
ACT,E00,L05,,435.7166459,1.091030688,0.604973337,2794.365785,194.9284372,22.12030969,,,Future,MIROC3.2,R2,MIROC3.2_R2,0.547780214,0.715412447,0.70603817,0.435662884,0.510064779,2.507241285
ACT,E00,L05,,438.9327875,1.094371235,0.60630599,2816.66623,196.287015,22.25298911,,,Future,MIROC3.2,R3,MIROC3.2_R3,0.551823527,0.717602916,0.707593452,0.439139693,0.513619739,2.522279923
ACT,E00,L10,,363.6467677,1.004870156,0.518163726,2282.879287,170.7344634,21.84615612,,,Future,CCCMA3.1,R1,CCCMA3.1_R1,0.457174419,0.65891512,0.604726434,0.355918248,0.446756962,2.476167166
ACT,E00,L10,,370.8552899,1.023342224,0.524838636,2335.290793,174.8630757,22.19400694,,,Future,CCCMA3.1,R2,CCCMA3.1_R2,0.466236927,0.671027655,0.612516433,0.3640896,0.457560207,2.51559455
ACT,E00,L10,,375.8019947,1.033367919,0.528984646,2369.122124,177.244418,22.43278119,,,Future,CCCMA3.1,R3,CCCMA3.1_R3,0.472455893,0.67760172,0.617355061,0.369364162,0.463791411,2.542658576
ACT,E00,L10,,373.130301,1.023205052,0.526237383,2342.674993,174.9289594,22.3188132,,,Future,CSIRO-MK3.0,R1,CSIRO-MK3.0_R1,0.469097057,0.670937708,0.61414885,0.365240853,0.457732603,2.529740798
ACT,E00,L10,,378.1825749,1.034702647,0.530361916,2381.221727,177.789882,22.55188763,,,Future,CSIRO-MK3.0,R2,CSIRO-MK3.0_R2,0.475448744,0.67847693,0.618962413,0.371250583,0.465218714,2.556158776
ACT,E00,L10,,380.3489519,1.038965624,0.532468964,2393.485127,178.6093385,22.66553389,,,Future,CSIRO-MK3.0,R3,CSIRO-MK3.0_R3,0.478172299,0.681272257,0.621421458,0.37316254,0.467362967,2.569040087
ACT,E00,L10,,379.8204915,1.03956559,0.532250149,2392.423731,178.6886138,22.63597032,,,Future,ECHAM5,R1,ECHAM5_R1,0.477507922,0.681665667,0.621166088,0.37299706,0.467570405,2.565689184
ACT,E00,L10,,382.317999,1.045894107,0.533182472,2430.496543,181.1781994,22.68765849,,,Future,ECHAM5,R2,ECHAM5_R2,0.480647773,0.685815413,0.622254162,0.378932901,0.474084847,2.571547814
ACT,E00,L10,,391.8927209,1.06389464,0.541316197,2487.921512,185.2422851,23.17313956,,,Future,ECHAM5,R3,ECHAM5_R3,0.492685053,0.697618752,0.63174668,0.387885891,0.484719247,2.626574991
ACT,E00,L10,,354.2250322,0.985254758,0.510137956,2216.278621,166.0960745,21.39668792,,,Future,MIROC3.2,R1,MIROC3.2_R1,0.445329472,0.646052879,0.595359906,0.345534697,0.434619796,2.425221892
ACT,E00,L10,,355.9437767,0.989648272,0.512026873,2226.956875,166.8963247,21.48663118,,,Future,MIROC3.2,R2,MIROC3.2_R2,0.447490267,0.648933801,0.597564379,0.347199518,0.436713792,2.435416571
ACT,E00,L10,,358.4515891,0.992955833,0.513510046,2244.268775,167.9926384,21.60129009,,,Future,MIROC3.2,R3,MIROC3.2_R3,0.450643073,0.651102641,0.599295326,0.349898575,0.439582491,2.448412662
ACT,E00,L15,,315.7467315,1.100675006,0.574416573,1987.487578,159.2879334,19.52006267,,,Future,CCCMA3.1,R1,CCCMA3.1_R1,0.396954796,0.721736435,0.670376695,0.309864433,0.416805089,2.212514549
ACT,E00,L15,,321.5402686,1.117760987,0.580597469,2031.88977,163.1959652,19.77144931,,,Future,CCCMA3.1,R2,CCCMA3.1_R2,0.404238394,0.732940082,0.677590151,0.316787073,0.427031146,2.241008136
